CameraName,CameraSpecsUrl,MSRP,Body type,Max resolution,Image ratio w:h,Effective pixels,Sensor photo detectors,Sensor size,Sensor type,Processor,ISO,Boosted ISO (minimum),Boosted ISO (maximum),White balance presets,Custom white balance,Image stabilization,CIPA image stabilization rating,Uncompressed format,JPEG quality levels,Autofocus,Manual focus,Number of focus points,Lens mount,Focal length multiplier,Articulated LCD,Screen size,Screen dots,Touch screen,Screen type,Live view,Viewfinder type,Viewfinder coverage,Viewfinder magnification,Viewfinder resolution,Minimum shutter speed,Maximum shutter speed,Maximum shutter speed (electronic),Aperture priority,Shutter priority,Manual exposure mode,Built-in flash,External flash,Continuous drive,Self-timer,Metering modes,Exposure compensation,AE Bracketing,Format,Modes,Microphone,Speaker,Storage types,USB,USB charging,HDMI,Microphone port,Headphone port,Wireless,Wireless notes,Remote control,Environmentally sealed,Battery,Battery description,Battery Life (CIPA),Weight (inc. batteries),Dimensions,Orientation sensor,Timelapse recording,GPS,,,
Canon PowerShot G7 X Mark III,https://www.dpreview.com/products/canon/compacts/canon_g7xiii/specifications,$749,Compact,5472 x 3648,"1:1, 4:3, 3:2, 16:9",20 megapixels,21 megapixels,1″ (13.2 x 8.8 mm),BSI-CMOS,DIGIC 8,6,Yes,Optical,RAW,"Fine, normal",24–100 mm,4.2×,F1.8–2.8,Contrast Detect (sensor)Multi-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes (4x),Yes,5 cm (1.97″),5 cm (1.97″),Tilting,3″,1040000,Yes,TFT LCD,Yes,None,30 sec,1/2000 sec,1/25600 sec,Yes,Yes,Yes,Yes,Yes,7.00 m,No,"Auto, on, slow synchro, off",30.0 fps,"Yes (2 or 10 secs, custom)",MultiCenter-weightedSpot,±3 (at 1/3 EV steps),"MPEG-4, H.264","3840 x 2160 @ 30p / 120 Mbps, MOV, H.264, AAC1920 x 1080 @ 120p / 120 Mbps, MOV, H.264, AAC1920 x 1080 @ 60p / 60 Mbps, MOV, H.264, AAC1920 x 1080 @ 30p / 30 Mbps, MOV, H.264, AAC",Stereo,Mono,SD/SDHC/SDXC card (UHS-I compatible),USB 3.2 Gen 1 (5 GBit/sec),Yes,Yes (micro-HDMI),Yes,No,Built-In,802.11b/g/n + Bluetooth,Yes (via smartphone or wireless remote),No,Battery Pack,NB-13L lithium-ion battery and charger,235,304 g (0.67 lb / 10.72 oz),105 x 61 x 41 mm (4.13 x 2.4 x 1.61″),Yes,Yes,None,,,,,
Canon PowerShot G5 X Mark II,https://www.dpreview.com/products/canon/compacts/canon_g5xii/specifications,$899,Compact,5472 x 3648,"1:1, 4:3, 3:2, 16:9",20 megapixels,21 megapixels,1″ (13.2 x 8.8 mm),BSI-CMOS,DIGIC 8,6,Yes,Optical,RAW,"Fine, normal",24–120 mm,5×,F1.8–2.8,Contrast Detect (sensor)Multi-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes (4x),Yes,5 cm (1.97″),5 cm (1.97″),Tilting,3″,1040000,Yes,TFT LCD,Yes,Electronic,100%,2360000,30 sec,1/2000 sec,1/25600 sec,Yes,Yes,Yes,Yes,Yes,7.50 m,No,"Auto, on, slow synchro, off",30.0 fps,"Yes (2 or 10 secs, custom)",MultiCenter-weightedSpot,±3 (at 1/3 EV steps),"MPEG-4, H.264","3840 x 2160 @ 30p / 120 Mbps, MOV, H.264, AAC1920 x 1080 @ 120p / 120 Mbps, MOV, H.264, AAC1920 x 1080 @ 60p / 60 Mbps, MOV, H.264, AAC1920 x 1080 @ 30p / 30 Mbps, MOV, H.264, AAC",Stereo,Mono,SD/SDHC/SDXC card (UHS-I compatible),USB 3.2 Gen 1 (5 GBit/sec),Yes,Yes (micro-HDMI),No,No,Built-In,802.11b/g/n + Bluetooth,Yes (via smartphone or wireless remote),No,Battery Pack,NB-13L lithium-ion battery and charger,230,340 g (0.75 lb / 11.99 oz),111 x 61 x 46 mm (4.37 x 2.4 x 1.81″),Yes,Yes,None,,,
Canon EOS Rebel SL3 (EOS 250D / EOS Kiss X10),https://www.dpreview.com/products/canon/slrs/canon_eos250d/specifications,"$599 (body only), $749 (w/18-55mm F4-5.6 lens)",Compact SLR,6000 x 4000,"1:1, 4:3, 3:2, 16:9",24 megapixels,26 megapixels,APS-C (22.3 x 14.9 mm),CMOS,DIGIC 8,"Auto, 100-25600 (expands to 51200)",51200,6,Yes,No,RAW,"Fine, normal",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes,9,Canon EF/EF-S,1.6×,Fully articulated,3″,1040000,Yes,TFT LCD,Yes,Optical (pentamirror),95%,0.87× (0.54× 35mm equiv.),30 sec,1/4000 sec,Yes,Yes,Yes,Yes,Yes,Yes (via hot shoe),5.0 fps,Yes (2 or 10 secs),MultiCenter-weightedSpotPartial,"±5 (at 1/3 EV, 1/2 EV steps)","±3 (3 frames at 1/3 EV, 1/2 EV steps)","MPEG-4, H.264","3840 x 2160 @ 25p / 120 Mbps, MP4, H.264, AAC3840 x 2160 @ 23.98p / 120 Mbps, MP4, H.264, AAC1920 x 1080 @ 60p / 60 Mbps, MP4, H.264, AAC1920 x 1080 @ 50p / 60 Mbps, MP4, H.264, AAC1920 x 1080 @ 30p / 30 Mbps, MP4, H.264, AAC1920 x 1080 @ 25p / 30 Mbps, MP4, H.264, AAC",Stereo,Mono,SD/SDHC/SDXC (UHS-I compatible),USB 2.0 (480 Mbit/sec),Yes (Mini-HDMI),Yes,No,Built-In,802.11b/g/n + Bluetooth,Yes (via wired or wireless remote or smartphone),No,Battery Pack,LP-E17 lithium-ion battery & charger,1070,449 g (0.99 lb / 15.84 oz),122 x 93 x 70 mm (4.8 x 3.66 x 2.76″),Yes,Yes (videos only),None,,,,,,,
Canon EOS RP,https://www.dpreview.com/products/canon/slrs/canon_eosrp/specifications,"$1299 (body), $1999 (w/EF adapter and EF 24-105mm STM IS lens), $2299 (w/RF 24-105mm F4L IS lens)",SLR-style mirrorless,6240 x 4160,"1:1, 4:3, 3:2, 16:9",26 megapixels,27 megapixels,Full frame (35.9 x 24 mm),CMOS,Digic 8,"Auto, 100-40000 (expands to 50-102400)",50,102400,6,Yes,No,RAW,"Fine, normal",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes,4779,Canon RF,1×,Fully articulated,3″,1040000,Yes,TFT LCD,Yes,Electronic,100%,0.7×,2360000,30 sec,1/4000 sec,Yes,Yes,Yes,Yes,No,Yes (via hot shoe),5.0 fps,"Yes (2 or 10 secs, custom)",MultiCenter-weightedSpotPartial,"±3 (at 1/3 EV, 1/2 EV steps)",No,"MPEG-4, H.264","3840 x 2160 @ 24p / 120 Mbps, MOV, H.264, Linear PCM1920 x 1080 @ 60p / 60 Mbps, MOV, H.264, Linear PCM1920 x 1080 @ 50p / 60 Mbps, MOV, H.264, Linear PCM1920 x 1080 @ 30p / 30 Mbps, MOV, H.264, Linear PCM1920 x 1080 @ 25p / 30 Mbps, MOV, H.264, Linear PCM",Stereo,Mono,SD/SDHC/SDXC card (UHS-II supported),USB 2.0 (480 Mbit/sec),Yes,Yes (micro-HDMI),Yes,Yes,Built-In,802.11b/g/n + Bluetooth,Yes (via cable or smartphone),No,Battery Pack,LP-E17 lithium-ion battery & charger,250,485 g (1.07 lb / 17.11 oz),133 x 85 x 70 mm (5.24 x 3.35 x 2.76″),Yes,Yes,None,,,,
Canon EOS Ra,https://www.dpreview.com/products/canon/slrs/canon_eosra/specifications,$2499 (body only),SLR-style mirrorless,6720 x 4480,4176 x 2784 (1.6x crop),"1:1, 4:3, 3:2, 16:9",30 megapixels,32 megapixels,Full frame (36 x 24 mm),CMOS,"Auto, 100-40000 (expands to 50-102400)",50,102400,6,Yes,No,RAW,"Fine, normal",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes,5655,Canon RF,1×,Fully articulated,3.2″,2100000,Yes,TFT LCD,Yes,Electronic,100%,0.76×,3690000,30 sec,1/8000 sec,Yes,Yes,Yes,No,No,Yes (via hot shoe),8.0 fps,Yes (2 or 10 secs),MultiCenter-weightedSpotPartial,"±3 (at 1/3 EV, 1/2 EV steps)","±3 (3 frames at 1/3 EV, 1/2 EV steps)","MPEG-4, H.264","3840 x 2160 @ 30p / 480 Mbps, MOV, H.264, Linear PCM3840 x 2160 @ 30p / 120 Mbps, MOV, H.264, AAC3840 x 2160 @ 24p / 480 Mbps, MOV, H.264, Linear PCM3840 x 2160 @ 24p / 120 Mbps, MOV, H.264, AAC3840 x 2160 @ 23.98p / 480 Mbps, MOV, H.264, Linear PCM3840 x 2160 @ 23.98p / 120 Mbps, MOV, H.264, AAC1920 x 1080 @ 60p / 180 Mbps, MOV, H.264, Linear PCM1920 x 1080 @ 60p / 60 Mbps, MOV, H.264, AAC1920 x 1080 @ 30p / 90 Mbps, MOV, H.264, Linear PCM1920 x 1080 @ 30p / 30 Mbps, MOV, H.264, AAC1920 x 1080 @ 24p / 90 Mbps, MOV, H.264, Linear PCM1920 x 1080 @ 24p / 30 Mbps, MOV, H.264, AAC1920 x 1080 @ 23.98p / 90 Mbps, MOV, H.264, Linear PCM1920 x 1080 @ 23.98p / 30 Mbps, MOV, H.264, AAC1280 x 720 @ 120p / 160 Mbps, MOV, H.264, Linear PCM",Stereo,Mono,SD card (UHS-II supported),USB 3.2 Gen 1 (5 GBit/sec),Yes (With some chargers),Yes (Mini-HDMI),Yes,Yes,Built-In,802.11b/g/n + Bluetooth 4.1 LE,Yes (via smartphone),Yes,Battery Pack,LP-E6N lithium-ion battery & charger,370,660 g (1.46 lb / 23.28 oz),136 x 98 x 84 mm (5.35 x 3.86 x 3.31″),Yes,None,,,,,
Canon PowerShot SX70 HS,https://www.dpreview.com/products/canon/compacts/canon_sx70hs/specifications,$549,SLR-like (bridge),5184 x 3888,"1:1, 4:3, 3:2, 16:9",20 megapixels,21 megapixels,"1/2.3"" (6.17 x 4.55 mm)",BSI-CMOS,Digic 8,"Auto, 100-3200",6,Yes,Optical,5 stop(s),RAW,"Fine, normal",21–1365 mm,65×,F3.4–6.5,Contrast Detect (sensor)Multi-areaCenterSelective single-pointTrackingSingleContinuousFace DetectionLive View,Yes (4x),Yes,5 cm (1.97″),0 cm (0″),9,Fully articulated,3″,922000,No,TFT LCD,Yes,Electronic,100%,2360000,15 sec,1/2000 sec,Yes,Yes,Yes,Yes,Yes,5.00 m (at Auto ISO),No,"Auto, on, slow sync, off",10.0 fps,"Yes (2 or 10 secs, custom)",MultiCenter-weightedSpot,±3,"MPEG-4, H.264","3840 x 2160 @ 30p / 120 Mbps, MOV, H.264, AAC1920 x 1080 @ 60p / 60 Mbps, MOV, H.264, AAC1920 x 1080 @ 30p / 30 Mbps, MOV, H.264, AAC",Stereo,Mono,SD/SDHC/SDXC (UHS-I supported),USB 2.0 (480 Mbit/sec),Yes (micro HDMI),Yes,No,Built-In,802.11b/g/n + Bluetooth,Yes (via smartphone),No,Built-in,LP-E12 lithium-ion battery & charger,325,608 g (1.34 lb / 21.45 oz),127 x 91 x 117 mm (5 x 3.58 x 4.61″),Yes,None,,,
Canon EOS R,https://www.dpreview.com/products/canon/slrs/canon_eosr/specifications,"$2299 (body only), $3399 (w/24-105 F4L lens)",SLR-style mirrorless,6720 x 4480,4176 x 2784 (1.6x crop),"1:1, 4:3, 3:2, 16:9",30 megapixels,32 megapixels,Full frame (36 x 24 mm),CMOS,"Auto, 100-40000 (expands to 50-102400)",50,102400,6,Yes,No,RAW,"Fine, normal",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes,5655,Canon RF,1×,Fully articulated,3.2″,2100000,Yes,TFT LCD,Yes,Electronic,100%,0.76×,3690000,30 sec,1/8000 sec,Yes,Yes,Yes,No,No,Yes (via hot shoe),8.0 fps,Yes (2 or 10 secs),MultiCenter-weightedSpotPartial,"±3 (at 1/3 EV, 1/2 EV steps)","±3 (3 frames at 1/3 EV, 1/2 EV steps)","MPEG-4, H.264","3840 x 2160 @ 30p / 480 Mbps, MOV, H.264, Linear PCM3840 x 2160 @ 30p / 120 Mbps, MOV, H.264, AAC3840 x 2160 @ 24p / 480 Mbps, MOV, H.264, Linear PCM3840 x 2160 @ 24p / 120 Mbps, MOV, H.264, AAC3840 x 2160 @ 23.98p / 480 Mbps, MOV, H.264, Linear PCM3840 x 2160 @ 23.98p / 120 Mbps, MOV, H.264, AAC1920 x 1080 @ 60p / 180 Mbps, MOV, H.264, Linear PCM1920 x 1080 @ 60p / 60 Mbps, MOV, H.264, AAC1920 x 1080 @ 30p / 90 Mbps, MOV, H.264, Linear PCM1920 x 1080 @ 30p / 30 Mbps, MOV, H.264, AAC1920 x 1080 @ 24p / 90 Mbps, MOV, H.264, Linear PCM1920 x 1080 @ 24p / 30 Mbps, MOV, H.264, AAC1920 x 1080 @ 23.98p / 90 Mbps, MOV, H.264, Linear PCM1920 x 1080 @ 23.98p / 30 Mbps, MOV, H.264, AAC1280 x 720 @ 120p / 160 Mbps, MOV, H.264, Linear PCM",Stereo,Mono,SD card (UHS-II supported),USB 3.2 Gen 1 (5 GBit/sec),Yes (With some chargers),Yes (Mini-HDMI),Yes,Yes,Built-In,802.11b/g/n + Bluetooth 4.1 LE,Yes (via smartphone),Yes,Battery Pack,LP-E6N lithium-ion battery & charger,370,660 g (1.46 lb / 23.28 oz),136 x 98 x 84 mm (5.35 x 3.86 x 3.31″),Yes,None,,,,,
Canon PowerShot SX740 HS,https://www.dpreview.com/products/canon/compacts/canon_sx740hs/specifications,$399,Ultracompact,5184 x 3888,"1:1, 4:3, 3:2, 16:9",21 megapixels,20 megapixels,"1/2.3"" (6.17 x 4.55 mm)",BSI-CMOS,Digic 8,"Auto, 100-3200",5,Yes,Optical,No,"Super fine, fine",24–960 mm,40×,F3.3–6.9,Contrast Detect (sensor)Multi-areaCenterTrackingSingleContinuousFace DetectionLive View,Yes,Yes,5 cm (1.97″),1 cm (0.39″),Tilting,3″,922000,No,TFT LCD,Yes,None,15 sec,1/3200 sec,Yes,Yes,Yes,Yes,Yes,5.00 m,No,"Auto, on, slow synchro, off",10.0 fps,"Yes (2 or 10 secs, custom self-timer)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"MPEG-4, H.264","3840 x 2160 @ 30p, MP4, H.264, AAC1920 x 1080 @ 60p, MP4, H.264, AAC1920 x 1080 @ 30p, MP4, H.264, AAC1280 x 720 @ 60p, MP4, H.264, AAC",Stereo,Mono,SD/SDHC/SDXC card (UHS-I compatible),USB 2.0 (480 Mbit/sec),Yes (micro HDMI),No,No,Built-In,802.11b/g/n + NFC + Bluetooth,Yes (via smartphone),No,Battery Pack,NB-13L lithium-ion battery & charger,265,299 g (0.66 lb / 10.55 oz),110 x 64 x 40 mm (4.33 x 2.52 x 1.57″),Yes,Yes (up to 4K),None,,,,,,
Canon EOS M50 (EOS Kiss M),https://www.dpreview.com/products/canon/slrs/canon_eosm50/specifications,"$779 (body only), $899 (w/15-45mm lens), $1249 (w/15-45 and 55-200mm lenses)",SLR-style mirrorless,6000 x 4000,"1:1, 4:3, 3:2, 16:9",24 megapixels,26 megapixels,APS-C (22.3 x 14.9 mm),CMOS,Digic 8,"Auto, 100-25600 (expands to 51200)",51200,6,Yes,No,RAW,Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes,143,Canon EF-M,1.6×,Fully articulated,3″,1040000,Yes,TFT LCD,Yes,Electronic,100%,2360000,30 sec,1/4000 sec,Yes,Yes,Yes,Yes,5.00 m (at ISO 100),Yes (via hot shoe),10.0 fps,"Yes (2 or 10 secs, custom)",MultiCenter-weightedSpot,±3 (at 1/3 EV steps),±2 (3 frames at 1/3 EV steps),"MPEG-4, H.264","3840 x 2160 @ 23.98p / 120 Mbps, MOV, H.264, AAC1920 x 1080 @ 60p / 60 Mbps, MOV, H.264, AAC1920 x 1080 @ 30p / 30 Mbps, MOV, H.264, AAC1920 x 1080 @ 23.98p / 30 Mbps, MOV, H.264, AAC1280 x 720 @ 120p / 52 Mbps, MOV, H.264, AAC1280 x 720 @ 60p / 26 Mbps, MOV, H.264, AAC",Stereo,Mono,SD/SDHC/SDXC slot (UHS-I compatible),USB 2.0 (480 Mbit/sec),No,Yes (micro-HDMI),Yes,No,Built-In,802.11b/g/n + Bluetooth,Yes (via smartphone),No,Built-in,LP-E12 lithium-ion battery & charger,235,390 g (0.86 lb / 13.76 oz),116 x 88 x 59 mm (4.57 x 3.46 x 2.32″),Yes,None,,,,,,,,
Canon EOS Rebel T7 (EOS 2000D),https://www.dpreview.com/products/canon/slrs/canon_eos2000d/specifications,$549.99 (with 18-55mm F3.5-5.6 IS II lens),Compact SLR,6000 x 4000,"1:1, 4:3, 3:2, 16:9",24 megapixels,25 megapixels,APS-C (22.3 x 14.9 mm),CMOS,Digic 4+,"Auto, ISO 100-6400, expandable to 12800",12800,6,Yes,No,RAW,"Fine, Normal",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousFace DetectionLive View,No,Yes,9,Canon EF/EF-S,1.6×,Fixed,3″,920000,No,TFT LCD,Yes,Optical (pentamirror),95%,0.8× (0.5× 35mm equiv.),30 sec,1/4000 sec,Yes,Yes,Yes,Yes,Yes (Pop-up),9.20 m (at ISO 100),Yes (via hot shoe),"Auto, On, Off,  Red-eye",3.0 fps,Yes (2 or 10 sec),MultiCenter-weightedPartial,"±5 (at 1/3 EV, 1/2 EV steps)","±2 (3 frames at 1/3 EV, 1/2 EV steps)",Yes,"MPEG-4, H.264","1920 x 1080 @ 30p / 46 Mbps, MOV, H.264, Linear PCM1920 x 1080 @ 24p / 46 Mbps, MOV, H.264, Linear PCM1280 x 720 @ 60p / 46 Mbps, MOV, H.264, Linear PCM",Mono,Mono,SD/SDHC/SDXC card,USB 2.0 (480 Mbit/sec),Yes (mini-HDMI),No,No,Built-In,802.11b/g/n with NFC,Yes (wired or wireless),No,Battery Pack,Lithium-Ion LP-E10 rechargeable battery & charger,500,475 g (1.05 lb / 16.76 oz),129 x 101 x 78 mm (5.08 x 3.98 x 3.07″),Yes,None,,,,
Canon EOS 4000D,https://www.dpreview.com/products/canon/slrs/canon_eos4000d/specifications,"£329.99 body only, €400/£369.99 with 18-55mm F3.5-5.6 IS II lens",Compact SLR,5184 x 3456,"1:1, 4:3, 3:2, 16:9",18 megapixels,19 megapixels,APS-C (22.3 x 14.9 mm),CMOS,Digic 4+,"Auto, ISO 100-6400, expandable to 12800",12800,6,Yes,No,RAW,"Fine, Normal",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousFace DetectionLive View,No,Yes,9,Canon EF/EF-S,1.6×,Fixed,2.7″,230000,No,TFT LCD,Yes,Optical (pentamirror),95%,0.8× (0.5× 35mm equiv.),30 sec,1/4000 sec,Yes,Yes,Yes,Yes,Yes (Pop-up),9.20 m (at ISO 100),Yes (via hot shoe),"Auto, On, Off,  Red-eye",3.0 fps,Yes (2 or 10 sec),MultiCenter-weightedPartial,"±5 (at 1/3 EV, 1/2 EV steps)","±2 (3 frames at 1/3 EV, 1/2 EV steps)",Yes,"MPEG-4, H.264","1920 x 1080 @ 30p / 46 Mbps, MOV, H.264, Linear PCM1920 x 1080 @ 24p / 46 Mbps, MOV, H.264, Linear PCM1280 x 720 @ 60p / 46 Mbps, MOV, H.264, Linear PCM",Mono,Mono,SD/SDHC/SDXC card,USB 2.0 (480 Mbit/sec),Yes (mini-HDMI),No,No,Built-In,802.11b/g/n,Yes (wired or wireless),No,Battery Pack,Lithium-Ion LP-E10 rechargeable battery & charger,500,436 g (0.96 lb / 15.38 oz),129 x 102 x 77 mm (5.08 x 4.02 x 3.03″),Yes,None,,,,
Canon PowerShot G1 X Mark III,https://www.dpreview.com/products/canon/compacts/canon_g1xiii/specifications,$1299,Large sensor compact,6000 x 4000,3:2,24 megapixels,26 megapixels,APS-C (22.3 x 14.9 mm),CMOS,DIGIC 7,"Auto, 100-25600",7,Yes,Optical,4 stop(s),RAW,"Fine, normal",24–72 mm,3×,F2.8–5.6,Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes (4x),Yes,10 cm (3.94″),10 cm (3.94″),49,Fully articulated,3″,1040000,Yes,TFT LCD,Yes,Electronic,100%,2360000,30 sec,1/2000 sec,Yes,Yes,Yes,Yes,Yes,9.00 m (at Auto ISO),Yes (via hot shoe),"Auto, on, sl0w synchro, off",9.0 fps,"Yes (2 or 10 secs, custom)",MultiCenter-weightedSpot,±3,"±3 (3 frames at 1/3 EV, 1/2 EV, 2/3 EV, 1 EV, 2 EV steps)","MPEG-4, H.264","1920 x 1080 @ 60p / 35 Mbps, MP4, H.264, AAC1920 x 1080 @ 30p / 24 Mbps, MP4, H.264, AAC1920 x 1080 @ 23.98p / 24 Mbps, MP4, H.264, AAC1280 x 720 @ 30p / 8 Mbps, MP4, H.264, AAC",Stereo,Mono,SD/SDHC/SDXC card (UHS-I supported),USB 2.0 (480 Mbit/sec),Yes,Yes (micro HDMI),No,No,Built-In,802.11b/g/n + NFC + Bluetooth,Yes (wired or smartphone),Yes,Built-in,NB-13L lithium-ion battery & charger,200,399 g (0.88 lb / 14.07 oz),115 x 78 x 51 mm (4.53 x 3.07 x 2.01″),Yes,Yes,None
Canon EOS M100,https://www.dpreview.com/products/canon/slrs/canon_eosm100/specifications,"$599 (w/15-45mm lens), $949 (w/15-45 and 55-200mm lenses)",Rangefinder-style mirrorless,6000 x 4000,3:2,24 megapixels,26 megapixels,APS-C (22.3 x 14.9 mm),CMOS,DIGIC 7,"Auto, 100-25600",6,Yes,No,RAW,"Fine, normal",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes,49,Canon EF-M,1.6×,Tilting,3″,Yes,TFT LCD,Yes,None,30 sec,1/4000 sec,Yes,Yes,Yes,Yes,Yes,5.00 m (at ISO 100),No,6.1 fps,"Yes (2 or 10 secs, custom)",MultiCenter-weightedSpotPartial,±3 (at 1/3 EV steps),"MPEG-4, H.264","1920 x 1080 @ 60p / 35 Mbps, MP4, H.264, AAC1920 x 1080 @ 30p / 24 Mbps, MP4, H.264, AAC1920 x 1080 @ 24p / 24 Mbps, MP4, H.264, AAC1280 x 720 @ 60p / 16 Mbps, MP4, H.264, AAC",Stereo,Mono,SD/SDHC/SDXC card (UHS-I compatible),USB 2.0 (480 Mbit/sec),Yes (micro HDMI),No,No,Built-In,802.11b/g/n + NFC + Bluetooth,Yes (via smartphone),No,Battery Pack,LP-E12 lithium-ion battery & charger,295,302 g (0.67 lb / 10.65 oz),108 x 67 x 35 mm (4.25 x 2.64 x 1.38″),Yes,None,,,,,,,,,,,,
Canon EOS 6D Mark II,https://www.dpreview.com/products/canon/slrs/canon_eos6dmkii/specifications,"$1999 (body only), $2599 (with 24-105mm 3.5-5.6 IS STM lens), $3099 (with 24-105 F4L II lens)",Mid-size SLR,6240 x 4160,"1:1, 4:3, 3:2, 16:9",26 megapixels,27 megapixels,Full frame (35.9 x 24 mm),CMOS,DIGIC 7,"Auto, 100-40000 (expands to 50-102400)",50,102400,6,Yes,No,RAW,"Fine, normal",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes,45,Canon EF,1×,Fully articulated,3″,1040000,Yes,TFT LCD,Yes,Optical (pentaprism),98%,0.71×,30 sec,1/4000 sec,Yes,Yes,Yes,Yes,No,Yes (via hot shoe),6.5 fps,Yes (2 or 10 secs),MultiCenter-weightedSpotPartial,"±5 (at 1/3 EV, 1/2 EV steps)","±3 (3 frames at 1/3 EV, 1/2 EV, 2/3 EV, 1 EV, 2 EV steps)","MPEG-4, H.264","1920 x 1080 @ 60p / 60 Mbps, MP4, H.264, AAC1920 x 1080 @ 30p / 30 Mbps, MP4, H.264, AAC1920 x 1080 @ 30p / 12 Mbps, MP4, H.264, AAC1920 x 1080 @ 23.98p / 30 Mbps, MP4, H.264, AAC1280 x 720 @ 60p / 26 Mbps, MOV, H.264, AAC1280 x 720 @ 30p / 4 Mbps, MOV, H.264, AAC",Stereo,Mono,SD/SDHC/SDXC (UHS-I compatible),USB 2.0 (480 Mbit/sec),Yes (Mini-HDMI),Yes,No,Built-In,802.11b/g/n + NFC + Bluetooth,"Yes (wired, wireless or smartphone)",Yes,Battery Pack,LP-E6N lithium-ion battery & charger,1200,765 g (1.69 lb / 26.98 oz),144 x 111 x 75 mm (5.67 x 4.37 x 2.95″),Yes,Yes,Built-in,,,,,,
Canon EOS Rebel SL2 (EOS 200D / Kiss X9),https://www.dpreview.com/products/canon/slrs/canon_eos200d/specifications,"$549 (body only), $699 (w/18-55mm F4-5.6 lens)",Compact SLR,6000 x 4000,"1:1, 4:3, 3:2, 16:9",24 megapixels,26 megapixels,APS-C (22.3 x 14.9 mm),CMOS,DIGIC 7,"Auto, 100-25600 (expands to 51200)",51200,6,Yes,No,RAW,"Fine, normal",Contrast Detect (sensor)Phase DetectMulti-areaCenterSelective single-pointTrackingSingleContinuousTouchFace DetectionLive View,Yes,9,Canon EF/EF-S,1.6×,Fully articulated,3″,1040000,Yes,TFT LCD,Yes,Optical (pentamirror),95%,0.87× (0.54× 35mm equiv.),30 sec,1/4000 sec,Yes,Yes,Yes,Yes,Yes,9.80 m (at ISO 100),Yes (via hot shoe),5.0 fps,Yes (2 or 10 secs),MultiCenter-weightedSpotPartial,"±5 (at 1/3 EV, 1/2 EV steps)","±3 (3 frames at 1/3 EV, 1/2 EV steps)","MPEG-4, H.264","1920 x 1080 @ 60p / 60 Mbps, MP4, H.264, AAC1920 x 1080 @ 30p / 30 Mbps, MP4, H.264, AAC1920 x 1080 @ 30p / 12 Mbps, MP4, H.264, AAC1920 x 1080 @ 23.98p / 30 Mbps, MP4, H.264, AAC1280 x 720 @ 60p / 26 Mbps, MP4, H.264, AAC1280 x 720 @ 30p / 4 Mbps, MP4, H.264, AAC",Stereo,Mono,SD/SDHC/SDXC (UHS-I compatible),USB 2.0 (480 Mbit/sec),Yes (Mini-HDMI),Yes,No,Built-In,802.11b/g/n + NFC + Bluetooth,Yes (via wireless remote or smartphone),No,Battery Pack,LP-E17 lithium-ion battery & charger,650,453 g (1.00 lb / 15.98 oz),122 x 93 x 70 mm (4.8 x 3.66 x 2.76″),Yes,Yes (videos only),None,,,,,,
